COMMODITY_DESC,values_ha,percent,type,type2
BEANS,22541.819572,1.742471900130227,Irrigated Land,Irrigated Land
BERRY TOTALS,34742.69778599999,2.6855939660708783,Irrigated Land,Irrigated Land
CORN,667749.706184,51.61673376141754,Irrigated Land,Irrigated Land
HAY & HAYLAGE,42287.66357,3.268816222112456,Irrigated Land,Irrigated Land
ORCHARDS,7647.756028,0.5911678928702924,Irrigated Land,Irrigated Land
POPCORN,13557.385686,1.047979446451882,Irrigated Land,Irrigated Land
SOYBEANS,310446.36649399996,23.997356042422187,Irrigated Land,Irrigated Land
VEGETABLE TOTALS,150482.89378599997,11.632255907064824,Irrigated Land,Irrigated Land
WHEAT,16054.298305999999,1.2409896009131849,Irrigated Land,Irrigated Land
WILD RICE,14798.557648,1.1439214470568764,Irrigated Land,Irrigated Land
OTHER,13359.898917999999,1.0327138134896263,Irrigated Land,Irrigated Land
CORN,18523501.670894,40.07639753143747,All Cropland,All Cropland
SOYBEANS,17998142.352553997,38.939759909528114,All Cropland,All Cropland
VEGETABLE TOTALS,182874.36591199998,0.3956566051501401,All Cropland,All Cropland
HAY & HAYLAGE,2511104.148648,5.432882502026524,All Cropland,All Cropland
BERRY TOTALS,21883.395449999996,0.047345673133168606,All Cropland,All Cropland
BEANS,198903.57368599996,0.4303364898867407,All Cropland,All Cropland
WHEAT,1161429.7997579998,2.512803636533641,All Cropland,All Cropland
WILD RICE,14798.557648,0.03201731992850134,All Cropland,All Cropland
POPCORN,54948.26508,0.1188829495704417,All Cropland,All Cropland
ORCHARDS,106714.07945599999,0.23088052931158634,All Cropland,All Cropland
OTHER,13360,0.028904938198662064,All Cropland,All Cropland
